timing_condition,pair_index,source_track_id,source_optical_frame_index,destination_optical_frame_index,d_left_o_deg_v2,d_right_o_deg_v2,d_mid_o_deg_v2,d_width_o_deg_v2,optical_dynamic_state_v2,bank_row_multiplicity
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,18,R02ZF_REUSED_R02ZF_PERSON017,293.0,294.0,0.879091183286242,0.8774294805811564,0.878260331933701,-0.0016617027050855881,OPTICAL_COHERENT_POSITIVE_SHIFT,156
NOMINAL,0,R02ZF_REUSED_R02ZF_PERSON018,283.0,284.0,0.8355809383606001,0.9561935377075983,0.8958872380340974,0.1206125993469982,OPTICAL_COHERENT_POSITIVE_SHIFT,42
SAR_SHIFT_PLUS_1,9,R02ZF_REUSED_R02ZF_PERSON018,289.0,290.0,1.1449766360027205,1.0700665573327193,1.1075215966677199,-0.07491007867000121,OPTICAL_COHERENT_POSITIVE_SHIFT,54
SAR_SHIFT_PLUS_1,19,R02ZF_REUSED_R02ZF_PERSON021,295.0,296.0,2.0929381538545755,1.926883437782827,2.0099107958187012,-0.1660547160717485,OPTICAL_COHERENT_POSITIVE_SHIFT,121
SAR_SHIFT_PLUS_1,14,R02ZF_REUSED_R02ZF_PERSON021,292.0,293.0,1.8354515422709525,2.0017870063547534,1.9186192743128565,0.16633546408380084,OPTICAL_COHERENT_POSITIVE_SHIFT,21
SAR_SHIFT_PLUS_1,1,R02ZF_REUSED_R02ZF_PERSON017,284.0,285.0,0.928387278467433,0.9171573581398249,0.9227723183036289,-0.011229920327608056,OPTICAL_COHERENT_POSITIVE_SHIFT,40
SAR_SHIFT_PLUS_1,14,R02ZF_REUSED_R02ZF_PERSON017,292.0,293.0,0.8922057771952581,0.8858047226104944,0.8890052499028744,-0.006401054584763699,OPTICAL_COHERENT_POSITIVE_SHIFT,63
SAR_SHIFT_MINUS_1,6,R02ZF_REUSED_R02ZF_PERSON018,286.0,287.0,0.9222694131755027,0.8502872514137501,0.8862783322946264,-0.07198216176175265,OPTICAL_COHERENT_POSITIVE_SHIFT,42
NOMINAL,3,R02ZF_REUSED_R02ZF_PERSON018,285.0,286.0,0.811884178948894,0.8486288037576983,0.8302564913532962,0.03674462480880436,OPTICAL_COHERENT_POSITIVE_SHIFT,24
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,10,R02ZF_REUSED_R02ZF_PERSON018,288.0,289.0,0.7995426592646915,0.8004557006114013,0.7999991799380464,0.0009130413467097753,OPTICAL_COHERENT_POSITIVE_SHIFT,81
SAR_SHIFT_PLUS_1,7,R02ZF_REUSED_R02ZF_PERSON018,288.0,289.0,0.7995426592646915,0.8004557006114013,0.7999991799380464,0.0009130413467097753,OPTICAL_COHERENT_POSITIVE_SHIFT,56
NOMINAL,20,R02ZF_REUSED_R02ZF_PERSON021,295.0,296.0,2.0929381538545755,1.926883437782827,2.0099107958187012,-0.1660547160717485,OPTICAL_COHERENT_POSITIVE_SHIFT,108
SAR_SHIFT_MINUS_1,14,R02ZF_REUSED_R02ZF_PERSON018,291.0,292.0,0.8959734968402273,0.902581247061466,0.8992773719508484,0.006607750221238717,OPTICAL_COHERENT_POSITIVE_SHIFT,90
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,15,R02ZF_REUSED_R02ZF_PERSON024,293.0,294.0,0.6757595909693848,2.0261677330122367,1.3509636619908143,1.350408142042852,OPTICAL_COHERENT_POSITIVE_SHIFT,16
SAR_SHIFT_MINUS_1,4,R02ZF_REUSED_R02ZF_PERSON018,285.0,286.0,0.811884178948894,0.8486288037576983,0.8302564913532962,0.03674462480880436,OPTICAL_COHERENT_POSITIVE_SHIFT,24
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,5,R02ZF_REUSED_R02ZF_PERSON017,287.0,288.0,0.7128639495969011,0.7007144778218475,0.7067892137093743,-0.012149471775053655,OPTICAL_COHERENT_POSITIVE_SHIFT,24
NOMINAL,8,R02ZF_REUSED_R02ZF_PERSON017,288.0,289.0,0.8719365847708822,0.821353117566467,0.8466448511686764,-0.0505834672044152,OPTICAL_COHERENT_POSITIVE_SHIFT,35
